错误词,建议词,（备注：第1列输入错词，第2列输入建议词，请保留第1行内容，从第2行开始添加词条）
招标中限定本地*,促进商品要素自由流动
本地产品,促进商品要素自由流动
限定*,促进商品要素自由流动
指定*,促进商品要素自由流动
限定原产地,促进商品要素自由流动
采购本地*,促进商品要素自由流动
本地*优先,促进商品要素自由流动
政府采购本地,促进商品要素自由流动
排斥外地,促进商品要素自由流动
限制外地,促进商品要素自由流动
准入门槛,统一市场准入标准
准入条件,统一市场准入标准
备案注册限制,统一市场准入标准
跨区域经营限制,保障经营主体自由迁移
迁移设置障碍,保障经营主体自由迁移
本地*,保障经营主体自由迁移
本市企业??,保障经营主体自由迁移
本地注册,保障经营主体自由迁移
本地登记,保障经营主体自由迁移
本地经营,保障经营主体自由迁移
超权限查封扣押,规范执法司法行为
违法干预经济纠纷,规范执法司法行为
逐利性执法,规范执法司法行为
异地执法,规范执法司法行为
设立分公司,不得强制设立本地机构
在当地设立子公司,不得强制设立本地机构
必须在本地??,不得强制设立本地机构
达标资质管理,严格执行国家统一标准
企业资质审核,严格执行国家统一标准
资质达标证明,严格执行国家统一标准
档案号牌,规范行业协会行为
备案合格证,规范行业协会行为
行业协会收费,规范行业协会行为
招标代理名录库,保障经营主体平等准入
资格库,保障经营主体平等准入
备选库,保障经营主体平等准入
指定机构,保障经营主体平等准入
特许经营权拍卖,防止行政性垄断
独家经营权,防止行政性垄断
垄断经营,防止行政性垄断
唯一资格,防止行政性垄断
唯一经营,防止行政性垄断
独家企业,防止行政性垄断
万众创新,过时的提法，优化
工作专班,谨慎使用，工作专班需要对标上级机构且已经审批同意设立
支持**代表性企业做大做强,涉嫌违背公平竞争审查条例
同考核,与基层减负精神不符
市场主体,与当前政策要求不匹配，除已有文件外，必须修改。
放管服,与当前政策要求不匹配，除已有文件外，必须修改。
错误词,建议词
北朝鲜,朝鲜
新时代思想,习近平新时代中国特色社会主义思想
习大大,习近平总书记
共党,中国共产党
中共,中国共产党
党国,中国共产党
国家领导人,党和国家领导人
达赖喇嘛,十四世达赖
六四学潮,1989年春夏之交的政治风波
64学潮,1989年春夏之交的政治风波
八九学潮,1989年春夏之交的政治风波
89学潮,1989年春夏之交的政治风波
文化大革命,十年内乱
文革,十年内乱
坚持马克思列宁主义,坚持把马克思主义基本原理同中国具体实际相结合
党的政治领导,坚持和加强党的全面领导
思想领导,坚持和加强党的全面领导
会议决定事项,会议研究事项
会议议定事项,会议研究事项
党的?大,党的十?大
*季度,第*季度
截止*,截至
穆斯林国家,伊斯兰国家
穆斯林世界,伊斯兰世界
前苏联,苏联
一带一路战略,一带一路倡议
伊斯兰教国家,伊斯兰国家
阿拉伯人,阿拉伯民族
亚太经合组织峰会,亚太经合组织领导人非正式会议
阿拉伯民兵,民兵武装
黑人歹徒,歹徒
黑非洲,撒哈拉沙漠以南非洲
伊斯兰原教旨主义,宗教激进主义
乌克兰亲俄武装,乌克兰东部民间武装
乌克兰民兵武装,乌克兰东部民间武装
乌克兰分裂分子,乌克兰东部民间武装
斯普拉特利群岛,南沙群岛
尖阁群岛,钓鱼岛
东突厥斯坦,新疆
供给侧改革,持续深化供给侧结构性改革，着力扩大有效需求
互联网+,促进数字经济与实体经济深度融合
中国制造2025,加快建设制造强国
三去一降一补,防范化解重点领域风险，优化存量资源配置，扩大优质增量供给
分享经济,引导平台经济规范健康持续发展
守住安全底线,更好统筹发展和安全
经济高速增长,实现经济高质量发展
一件事一次办,高效办成一件事
最多跑一次,高效办成一件事
截止日期,截至
截止到,截至
交社保,社会保险
二季度,第二季度
一季度,第一季度
三季度,第三季度
四季度,第四季度
半年红,上半年目标顺利实现
加强理论学习、增进团结,加强理论学习，增进团结
二〇二五年九月十八日,2025年9月18日
悬殊,较大
党的19大,党的十九大
党的18大,党的十八大
党的17大,党的十七大
党的20大,党的二十大
依法履职,依法依规履职
法律法规,地方性法规
?季度,第?季度
*社保*,*社会保险*
党的??大,党的十?大
首长,公司领导
老板,公司领导
老大,公司领导
老总,公司领导
残废人,残疾人
瞎子,盲人
聋子,聋人
傻子,智力障碍者
弱智,智力障碍者
罪犯,犯罪嫌疑人
村长,村主任
检察院院长,检察长
中港,内地与香港
中澳,内地与澳门
台湾省,台湾地区
台湾政府,台湾当局
台湾总统,台湾当局领导人
网民,网友
粉丝,支持者
炒作,宣传
忽悠,误导
搞定,完成
搞活,激活
搞好,做好
搞清楚,弄清楚
搞明白,弄明白
搞建设,抓建设
搞改革,推进改革
搞发展,促进发展
搞经济,发展经济
搞产业,发展产业
报送贯彻落实情况,直接提出具体落实措施
制定配套文件,直接提出具体落实措施
上报落实情况,直接提出具体落实措施
开会传达不过夜,结合实际抓好贯彻落实
传达学习会议,结合实际抓好贯彻落实
层层开会传达,结合实际抓好贯彻落实
一票否决,建立科学考核评价体系
签订责任状,建立科学考核评价体系
责任书,建立科学考核评价体系
创建示范,注重工作实效
达标活动,注重工作实效
授牌命名,注重工作实效
评比表彰,注重工作实效
层层加码,统筹安排，精准施策
层层*,统筹安排，精准施策
逐级部署,统筹安排，精准施策
痕迹管理,注重工作实效
留痕备查,注重工作实效
档案齐全,注重工作实效
材料完整,注重工作实效
台账管理,注重工作实效
工作日志,注重工作实效
工作记录,注重工作实效
工作笔记,注重工作实效
学习笔记,注重工作实效
会议记录,注重工作实效
检查记录,注重工作实效
*记录,注重工作实效
督查记录,注重工作实效
考核记录,注重工作实效
评估记录,注重工作实效
验收记录,注重工作实效
整改记录,注重工作实效
落实记录,注重工作实效
执行记录,注重工作实效
*台账,注重工作实效
*责任状,建立科学考核评价体系
优先采购本地*,促进商品要素自由流动
